REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Service detail,Seasonal adjustment,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,TERMINATED,DECIMALS
2020-01,British Columbia,2016A000259,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170663,11.2.1.1,473746,,,0
2020-01,British Columbia,2016A000259,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170665,11.3.1.1,370872,,,0
2020-01,Yukon,2016A000260,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170671,12.1.1.1,5526,,,0
2020-01,Yukon,2016A000260,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170716,12.1.1.2,6868,,,0
2020-01,Yukon,2016A000260,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170677,12.4.1.1,,x,,0
2020-01,Yukon,2016A000260,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170679,12.5.1.1,,x,,0
2020-01,Yukon,2016A000260,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170673,12.2.1.1,,x,,0
2020-01,Yukon,2016A000260,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170675,12.3.1.1,,x,,0
2020-01,Northwest Territories,2016A000261,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170681,13.1.1.1,5721,,,0
2020-01,Northwest Territories,2016A000261,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170717,13.1.1.2,6368,,,0
2020-01,Northwest Territories,2016A000261,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170687,13.4.1.1,,x,,0
2020-01,Northwest Territories,2016A000261,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170689,13.5.1.1,,x,,0
2020-01,Northwest Territories,2016A000261,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170683,13.2.1.1,,x,,0
2020-01,Northwest Territories,2016A000261,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170685,13.3.1.1,,x,,0
2020-01,Nunavut,2016A000262,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170691,14.1.1.1,1294,,,0
